Loading Facebook fasttext ... (This may require a couple of minutes)
[0.5315, 0.4749, 0.4685, 0.5127, 0.4889, 0.4679, 0.3587, 0.4242, 0.4325, 0.4392, 0.4765, 0.4677, 0.4082, 0.5034, 0.4803, 0.452, 0]
[0.6138, 0.481, 0.5505, 0.6173, 0.5195, 0.5673, 0.4658, 0.47, 0.488, 0.6002, 0.6089, 0.5467, 0.4474, 0.4606, 0.5536, 0.4434, 0]
[0.5734, 0.4912, 0.5557, 0.6353, 0.558, 0.5673, 0.4324, 0.5481, 0.4773, 0.5287, 0.6089, 0.5467, 0.4363, 0.4791, 0.4704, 0.4713, 0]
[0.5594, 0.5704, 0.5174, 0.6842, 0.4879, 0.5906, 0.42, 0.4796, 0.6043, 0.5059, 0.6922, 0.4822, 0.4032, 0.4851, 0.4765, 0.5108, 0]
[0.5902, 0.5211, 0.6004, 0.5458, 0.5308, 0.5663, 0.3911, 0.4436, 0.4512, 0.4912, 0.733, 0.5075, 0.4525, 0.4929, 0.5008, 0.5189, 0]
[0.5902, 0.5209, 0.4746, 0.5458, 0.4842, 0.5571, 0.4292, 0.6386, 0.5353, 0.4912, 0.533, 0.5211, 0.4533, 0.5249, 0.4679, 0.5108, 0]
[0.6664, 0.4599, 0.5103, 0.6693, 0.5079, 0.5906, 0.4252, 0.545, 0.4741, 0.5847, 0.6922, 0.5467, 0.4449, 0.5338, 0.4583, 0.4846, 0]
[0.4787, 0.4697, 0.5752, 1.0, 0.4833, 0.4377, 0.4126, 0.4794, 0.43, 0.5866, 0.533, 0.4792, 0.4817, 0.4711, 0.509, 0.4491, 0]
[0.6138, 0.5211, 0.6522, 0.6807, 0.5845, 0.5931, 0.5704, 0.4967, 0.5538, 0.6444, 0.5856, 0.5295, 0.5256, 0.5122, 0.5261, 0.5108, 0]
[0.5902, 0.5211, 0.5333, 0.6231, 0.5308, 0.543, 0.3867, 0.4753, 0.4959, 0.5226, 0.5542, 0.5211, 0.446, 0.5289, 0.551, 0.5189, 0]
[0.5902, 0.4684, 0.5029, 0.5959, 0.4704, 0.5386, 0.4255, 0.6386, 0.5425, 0.5736, 0.4707, 0.5211, 0.4733, 0.5249, 0.5536, 0.4626, 0]
[0.5603, 0.462, 0.5512, 0.533, 0.5232, 0.53, 0.4658, 0.4483, 0.3962, 0.6002, 0.5324, 0.5527, 0.3844, 0.3966, 0.4739, 0.4376, 0]
[0.6138, 0.481, 0.5505, 0.6173, 0.5195, 0.5673, 0.4658, 0.47, 0.488, 0.6002, 0.6089, 0.5467, 0.4474, 0.4606, 0.5536, 0.4434, 0]
[0.5734, 0.4878, 0.5223, 0.6231, 0.5391, 0.5931, 0.4322, 0.508, 0.4844, 0.5226, 0.4887, 0.5075, 0.4702, 0.5289, 1.0, 0.4569, 0]
[0.5902, 0.4633, 1.0, 0.4872, 0.5061, 0.5464, 0.4463, 0.4369, 0.4695, 0.5867, 0.5139, 0.4947, 0.4413, 0.5353, 0.4653, 0.4685, 0]
[0.6138, 0.6356, 0.5505, 1.0, 0.5237, 1.0, 1.0, 1.0, 0.4831, 0.5465, 1.0, 0.8249, 0.4531, 0.5415, 0.6006, 0.5632, 0]
[0.5902, 0.5704, 0.5321, 0.6354, 0.558, 0.5878, 0.4757, 0.461, 0.6043, 0.5287, 1.0, 0.518, 0.4525, 0.5863, 0.4782, 0.5108, 0]
[0.5267, 0.437, 0.5512, 0.533, 0.5253, 0.543, 0.4463, 0.4774, 0.43, 0.5979, 0.6874, 0.507, 0.5169, 0.501, 0.4815, 0.44, 0]
[0.5902, 0.5211, 1.0, 0.6173, 0.5695, 1.0, 0.477, 1.0, 0.5275, 0.7935, 0.6439, 0.5257, 0.5186, 0.5135, 0.5978, 0.6386, 0]
[0.549, 0.4852, 1.0, 1.0, 1.0, 0.543, 0.3896, 0.4731, 0.4404, 0.5078, 0.4746, 0.4409, 0.4531, 0.5863, 0.4467, 0.5632, 0]
[0.6138, 0.481, 0.5505, 0.6173, 0.5195, 0.5673, 0.4658, 0.47, 0.488, 0.6002, 0.6089, 0.5467, 0.4474, 0.4606, 0.5536, 0.4434, 0]
[0.6225, 0.4632, 0.5329, 0.5337, 0.4663, 0.5369, 0.3815, 0.424, 0.5093, 0.5244, 0.533, 0.43, 0.5664, 0.4152, 0.4248, 0.4, 0]
[0.5902, 0.6356, 0.5512, 0.6462, 0.558, 0.5683, 0.511, 0.4854, 0.6043, 1.0, 1.0, 0.5365, 0.4846, 0.5863, 0.5275, 0.4639, 0]
[0.8378, 0.4979, 1.0, 1.0, 0.571, 0.5987, 0.4709, 0.5318, 0.5026, 0.5229, 0.6017, 0.5671, 0.4614, 0.4791, 0.6006, 0.4922, 0]
[0.5902, 0.5704, 0.5752, 0.6173, 0.5489, 1.0, 0.6758, 0.4753, 0.6043, 0.6061, 0.6201, 0.4845, 0.462, 0.5395, 0.5286, 0.4922, 0]
[0.5267, 0.3944, 0.4086, 0.4276, 0.4342, 0.4627, 0.3281, 0.372, 0.3962, 0.4536, 0.4264, 0.5097, 0.3729, 0.3923, 0.4739, 0.3276, 0]
[0.5902, 0.5211, 0.6004, 0.5458, 0.5308, 0.5663, 0.4328, 0.4436, 0.4511, 0.5029, 0.733, 0.5075, 0.4525, 0.4808, 0.4788, 0.4717, 0]
[0.4995, 0.4145, 0.476, 0.4906, 0.5152, 0.4833, 0.4709, 0.421, 0.4954, 0.4868, 0.7404, 0.4965, 0.5186, 0.4775, 0.5978, 0.4088, 0]
[0.6138, 0.6356, 0.5505, 1.0, 0.5824, 1.0, 1.0, 0.5781, 0.5026, 0.6775, 0.6922, 0.5527, 0.4545, 0.4808, 0.6562, 0.4717, 0]
[0.8315, 0.5209, 1.0, 0.552, 0.5845, 0.5931, 0.5704, 0.4967, 0.4874, 0.5736, 0.6874, 0.5303, 0.4553, 0.5122, 0.4954, 0.5108, 0]
[0.8378, 0.5704, 1.0, 1.0, 0.5712, 1.0, 0.8348, 1.0, 0.6043, 1.0, 0.6874, 0.5303, 0.5664, 0.4941, 0.6562, 0.5347, 0]
[0.5902, 0.6356, 0.509, 0.6173, 0.5098, 0.7816, 0.7166, 0.8218, 0.5773, 0.5843, 1.0, 0.5257, 0.4518, 0.5034, 0.5109, 0.421, 0]
[0.5594, 0.4101, 0.3946, 0.553, 0.4354, 0.5547, 0.3849, 0.4185, 0.3983, 0.4571, 0.4776, 0.395, 0.3729, 0.433, 0.4047, 0.3952, 0]
[0.6138, 0.481, 0.5505, 0.5137, 0.488, 0.5441, 0.4113, 0.4497, 0.4385, 0.5509, 0.533, 0.4397, 0.4352, 0.4465, 0.5275, 0.5189, 0]
[0.5902, 0.4633, 0.4526, 0.5212, 0.4605, 0.5464, 0.4658, 0.47, 0.3997, 0.6002, 0.4707, 0.4351, 0.4134, 0.4563, 0.4369, 0.4295, 0]
[0.6016, 0.5211, 0.5399, 0.6231, 0.5308, 0.5673, 0.5624, 0.4796, 0.4685, 0.5866, 0.6874, 0.5303, 0.4817, 0.5289, 0.551, 0.4717, 0]
